iter	Passed	Remaining
403	9321	13751
404	9341	13724
405	9366	13703
406	9386	13676
407	9407	13649
408	9411	13598
409	9431	13572
410	9451	13545
411	9488	13542
412	9509	13515
413	9529	13488
414	9549	13461
415	9570	13435
416	9590	13407
417	9610	13380
418	9643	13371
419	9665	13347
420	9685	13319
421	9708	13297
422	9728	13269
423	9753	13250
424	9776	13227
425	9797	13200
426	9807	13161
427	9828	13135
428	9849	13109
429	9869	13083
430	9911	13085
431	9935	13062
432	9957	13038
433	9981	13017
434	10011	13003
435	10030	12974
436	10048	12946
437	10074	12926
438	10093	12898
439	10112	12870
440	10131	12842
441	10149	12813
442	10169	12785
443	10178	12746
444	10197	12718
445	10217	12691
446	10236	12664
447	10253	12633
448	10262	12594
449	10272	12555
450	10282	12516
451	10301	12489
452	10323	12465
453	10342	12438
454	10361	12410
455	10379	12382
456	10398	12355
457	10417	12328
458	10436	12301
459	10456	12274
460	10475	12247
461	10493	12220
462	10512	12193
463	10531	12165
464	10550	12138
465	10565	12107
466	10584	12080
467	10609	12060
468	10634	12040
469	10657	12017
470	10667	11981
471	10688	11957
472	10700	11922
473	10720	11896
474	10734	11864
475	10752	11837
476	10772	11811
477	10794	11787
478	10814	11762
479	10827	11730
480	10831	11687
481	10868	11679
482	10888	11655
483	10899	11620
484	10920	11596
485	10928	11558
486	10945	11529
487	10965	11505
488	10986	11480
489	11003	11452
490	11022	11426
491	11043	11402
492	11079	11394
493	11100	11370
494	11117	11342
495	11140	11320
496	11161	11295
497	11168	11258
498	11187	11232
499	11198	11198
500	11218	11173
501	11237	11148
502	11258	11124
503	11279	11100
504	11299	11076
505	11319	11050
506	11340	11027
507	11361	11003
508	11389	10986
509	11423	10975
510	11460	10967
511	11489	10951
512	11510	10927
513	11532	10904
514	11552	10879
515	11573	10855
516	11592	10829
517	11611	10804
518	11630	10779
519	11652	10756
520	11671	10730
521	11695	10709
522	11716	10685
523	11737	10662
524	11766	10645
525	11804	10637
526	11832	10619
527	11852	10595
528	11874	10572
529	11894	10547
530	11913	10522
531	11933	10497
532	11954	10473
533	11973	10449
534	11994	10424
535	12016	10402
536	12043	10384
537	12051	10348
538	12065	10319
539	12103	10310
540	12124	10286
541	12144	10262
542	12165	10238
543	12186	10214
544	12206	10190
545	12225	10165
546	12235	10132
547	12251	10105
548	12265	10075
549	12285	10051
550	12298	10021
551	12320	9998
552	12353	9985
553	12374	9962
554	12391	9935
555	12411	9911
556	12433	9889
557	12454	9865
558	12473	9840
559	12494	9816
560	12501	9782
561	12521	9759
562	12542	9735
563	12563	9711
564	12585	9689
565	12607	9667
566	12630	9645
567	12651	9622
568	12670	9597
569	12691	9573
570	12713	9551
571	12732	9527
572	12753	9503
573	12773	9480
574	12778	9444
575	12797	9420
576	12816	9395
577	12836	9371
578	12861	9351
579	12887	9332
580	12911	9311
581	12932	9288
582	12952	9264
583	12970	9239
584	12990	9215
585	13010	9191
586	13045	9178
587	13068	9156
588	13113	9150
589	13137	9129
590	13161	9108
591	13183	9086
592	13197	9057
593	13218	9034
594	13246	9016
595	13277	8999
596	13297	8976
597	13317	8952
598	13338	8929
599	13358	8905
600	13396	8894
601	13415	8869
602	13423	8837
603	13450	8818
604	13471	8795
605	13503	8779
606	13524	8756
607	13531	8724
608	13552	8700
609	13573	8677
610	13593	8654
611	13628	8640
612	13657	8622
613	13680	8600
614	13702	8577
615	13765	8580
616	13781	8554
617	13806	8533
618	13830	8512
619	13850	8489
620	13880	8471
621	13892	8442
622	13925	8426
623	13959	8411
624	13990	8394
625	14013	8372
626	14035	8349
627	14057	8326
628	14077	8303
629	14097	8279
630	14133	8264
631	14153	8241
632	14173	8217
633	14194	8194
634	14215	8171
635	14235	8147
636	14255	8123
637	14271	8097
638	14292	8074
639	14313	8051
640	14334	8027
641	14355	8005
642	14378	7983
643	14398	7959
